provider_id,provider_name,specialty,provider_type,state,npi_flag_suspicious
PRV20102,"Mckee, Gardner and Davenport Medical Group",Anesthesiology,Outpatient Facility,GA,False
PRV20103,"Tran, Jordan and Williams Medical Group",Radiology,Hospital,CA,False
PRV20104,Nolan-Flynn Clinic,Internal Medicine,Hospital,IL,False
PRV20105,Nolan and Sons Clinic,Orthopedic Surgery,Outpatient Facility,MA,False
PRV20106,"Wright, Garcia and Deleon Medical Group",Nephrology,Physician Group,CA,False
PRV20107,Dickson-Brady Medical Group,Internal Medicine,Physician Group,FL,False
PRV20108,Hancock and Sons Medical Group,Neurology,Physician Group,PA,False
PRV20109,Johnson-Doyle Medical Group,Orthopedic Surgery,Outpatient Facility,NY,False
PRV20110,Patton-Jenkins Clinic,Oncology,Individual Practitioner,OH,False
PRV20111,"Shields, Cochran and Adams Medical Group",Internal Medicine,Outpatient Facility,NC,False
PRV20112,"Rodriguez, Brennan and Garrison Clinic",General Surgery,Outpatient Facility,NY,False
PRV20113,Gonzalez Group Clinic,Neurology,Physician Group,NY,False
PRV20114,Torres-Pope Clinic,Emergency Medicine,Physician Group,GA,False
PRV20115,Walker Ltd Medical Group,Orthopedic Surgery,Outpatient Facility,TX,False
PRV20116,Ross LLC Medical Group,Radiology,Physician Group,GA,False
PRV20117,Rasmussen LLC Clinic,Cardiology,Individual Practitioner,NY,False
PRV20118,May-Ross Clinic,Internal Medicine,Individual Practitioner,NC,False
PRV20119,"Rivera, Johnson and Wiley Clinic",Neurology,Outpatient Facility,TX,False
PRV20120,White-Estes Medical Group,Internal Medicine,Physician Group,OH,False
PRV20121,Johnson-Carlson Clinic,Internal Medicine,Physician Group,NY,False
PRV20122,Chandler-Edwards Clinic,Internal Medicine,Hospital,IL,False
PRV20123,"Joyce, Wilson and Lam Clinic",Nephrology,Physician Group,PA,False
PRV20124,Scott Ltd Clinic,Radiology,Outpatient Facility,IL,False
PRV20125,Smith-Frost Medical Group,Oncology,Hospital,FL,False
PRV20126,"Mcdaniel, Bentley and Mclaughlin Clinic",Oncology,Individual Practitioner,MA,False
PRV20127,Diaz Inc Medical Group,Oncology,Individual Practitioner,TX,False
PRV20128,"Mccall, Hanson and Alvarado Medical Group",Cardiology,Outpatient Facility,PA,False
PRV20129,Cortez LLC Medical Group,Family Practice,Outpatient Facility,TX,False
PRV20130,"Parker, Ortiz and Powell Clinic",Emergency Medicine,Physician Group,NY,False
PRV20131,Spencer-Lee Clinic,Family Practice,Hospital,GA,False
PRV20132,"Bentley, Byrd and Orr Clinic",Neurology,Individual Practitioner,OH,False
PRV20133,"Carroll, Sullivan and Bass Medical Group",Oncology,Physician Group,MA,False
PRV20134,Mitchell-Jordan Clinic,General Surgery,Hospital,MA,False
PRV20135,"Lawson, Morris and Ramos Medical Group",Orthopedic Surgery,Outpatient Facility,FL,False
PRV20136,"Lewis, Kennedy and Santana Medical Group",Neurology,Individual Practitioner,FL,False
PRV20137,"Jackson, Miller and Robertson Medical Group",Nephrology,Individual Practitioner,PA,False
PRV20138,"Harvey, Davis and Crane Medical Group",Radiology,Physician Group,NY,False
PRV20139,Chambers and Sons Medical Group,Family Practice,Outpatient Facility,FL,False
PRV20140,Hernandez Inc Clinic,Anesthesiology,Outpatient Facility,PA,False
PRV20141,Riggs PLC Medical Group,Emergency Medicine,Outpatient Facility,FL,False
PRV20142,Gibson Ltd Medical Group,Radiology,Outpatient Facility,CA,False
PRV20143,"Lee, Horton and Snyder Medical Group",Orthopedic Surgery,Individual Practitioner,IL,False
PRV20144,Hernandez Ltd Medical Group,Neurology,Hospital,GA,False
PRV20145,Stafford Inc Medical Group,General Surgery,Hospital,CA,False
PRV20146,Robinson-Brock Medical Group,Oncology,Physician Group,NY,False
PRV20147,"Holmes, Williams and Wright Clinic",Family Practice,Hospital,MA,False
PRV20148,Bryant Group Medical Group,Psychiatry,Individual Practitioner,OH,False
PRV20149,"Schmidt, Hansen and Stewart Clinic",Psychiatry,Individual Practitioner,NY,False
PRV20150,Salazar-Ball Clinic,Psychiatry,Outpatient Facility,PA,False
PRV20151,"Simmons, Meadows and Griffin Medical Group",General Surgery,Hospital,FL,False
PRV20152,Manning Group Clinic,Orthopedic Surgery,Outpatient Facility,CA,False
PRV20153,Green-Wright Medical Group,Emergency Medicine,Hospital,TX,False
PRV20154,"Ramirez, Strickland and Washington Clinic",Radiology,Hospital,NY,False
PRV20155,Hill Inc Medical Group,Oncology,Physician Group,NY,False
PRV20156,"Mitchell, Nelson and Flores Clinic",Anesthesiology,Individual Practitioner,MA,False
PRV20157,"Miller, Hernandez and Reyes Clinic",Psychiatry,Individual Practitioner,NC,False
PRV20158,Mccarthy Inc Medical Group,Orthopedic Surgery,Hospital,OH,False
PRV20159,Russell-Daniels Medical Group,Emergency Medicine,Individual Practitioner,PA,False
PRV20160,Brown-Wall Clinic,Internal Medicine,Physician Group,CA,False
PRV20161,Stein-Silva Clinic,Nephrology,Individual Practitioner,IL,False
PRV20162,"Smith, Gilmore and Johnston Clinic",General Surgery,Hospital,NC,False
PRV20163,Smith-Bell Clinic,Nephrology,Individual Practitioner,GA,False
PRV20164,Castaneda-Ashley Clinic,Anesthesiology,Hospital,OH,False
PRV20165,Medina-Navarro Medical Group,Anesthesiology,Physician Group,MA,False
PRV20166,"Hurst, Freeman and Nelson Clinic",Cardiology,Individual Practitioner,PA,False
PRV20167,Johnson-Rogers Clinic,Cardiology,Physician Group,NC,False
PRV20168,"Yates, Ramsey and Pittman Clinic",Psychiatry,Outpatient Facility,PA,False
PRV20169,Hooper PLC Medical Group,Oncology,Individual Practitioner,IL,False
PRV20170,Meadows PLC Medical Group,Orthopedic Surgery,Hospital,MA,False
PRV20171,"Alvarado, Miller and Patterson Clinic",Orthopedic Surgery,Hospital,PA,False
PRV20172,White-Green Clinic,Internal Medicine,Outpatient Facility,NC,False
PRV20173,Lewis-Murphy Clinic,Cardiology,Physician Group,GA,False
PRV20174,Ramirez-Bean Clinic,General Surgery,Individual Practitioner,TX,False
PRV20175,King-Miller Medical Group,Anesthesiology,Hospital,NY,False
PRV20176,Curry Inc Clinic,Internal Medicine,Physician Group,TX,False
PRV20177,Walker-Jones Medical Group,Anesthesiology,Hospital,FL,False
PRV20178,"Williams, Johnson and Wright Medical Group",Orthopedic Surgery,Hospital,CA,False
PRV20179,Howell and Sons Medical Group,Oncology,Hospital,TX,False
PRV20180,Wells Inc Clinic,Psychiatry,Physician Group,OH,False
PRV20181,"Gould, Marshall and Scott Medical Group",Nephrology,Hospital,GA,False
PRV20182,Jackson-Lawson Medical Group,General Surgery,Physician Group,CA,False
PRV20183,"Higgins, Strickland and Martin Clinic",Neurology,Hospital,MA,False
PRV20184,Rodriguez-Johnson Clinic,Psychiatry,Hospital,FL,False
PRV20185,Johnston-Odonnell Clinic,Internal Medicine,Physician Group,MA,False
PRV20186,Sanders-Espinoza Medical Group,Nephrology,Individual Practitioner,GA,False
PRV20187,Vargas Ltd Medical Group,Anesthesiology,Physician Group,NY,False
PRV20188,Garcia LLC Medical Group,Oncology,Individual Practitioner,PA,False
PRV20189,"Burke, Martinez and Riggs Medical Group",Radiology,Physician Group,OH,False
PRV20190,Reed Group Clinic,Cardiology,Individual Practitioner,CA,False
PRV20191,"Wood, Hunter and Peterson Medical Group",Radiology,Physician Group,TX,False
PRV20192,Short-Garcia Medical Group,Orthopedic Surgery,Outpatient Facility,TX,False
PRV20193,Reid-Poole Clinic,Orthopedic Surgery,Individual Practitioner,PA,False
PRV20194,"Hernandez, Thompson and Boyd Clinic",Radiology,Outpatient Facility,NY,False
PRV20195,"Nelson, Morton and Medina Clinic",Radiology,Individual Practitioner,PA,False
PRV20196,Marshall-Petersen Medical Group,Orthopedic Surgery,Outpatient Facility,PA,False
PRV20197,"Adams, Christian and Rivas Clinic",Neurology,Hospital,IL,False
PRV20198,Ramirez Group Medical Group,Psychiatry,Physician Group,MA,False
PRV20199,Christensen PLC Medical Group,Psychiatry,Hospital,MA,False
PRV20200,"Barnett, Rogers and Snyder Clinic",Nephrology,Physician Group,NC,False
PRV20201,White-Lewis Medical Group,Cardiology,Individual Practitioner,OH,False
PRV20202,Peterson-Beard Medical Group,General Surgery,Individual Practitioner,CA,False
PRV20203,"Beard, Peters and Black Clinic",Cardiology,Hospital,GA,False
PRV20204,Miller Ltd Medical Group,Radiology,Physician Group,NC,False
PRV20205,Freeman-Chang Clinic,Psychiatry,Physician Group,MA,False
PRV20206,"Alvarez, Joseph and West Medical Group",Anesthesiology,Physician Group,CA,False
PRV20207,Davis and Sons Clinic,Anesthesiology,Hospital,NY,False
PRV20208,Holt-Torres Clinic,Family Practice,Outpatient Facility,GA,False
PRV20209,"Wood, Tran and Cooper Clinic",Oncology,Physician Group,TX,False
PRV20210,"Pierce, Bell and Chavez Clinic",General Surgery,Physician Group,MA,False
PRV20211,King-Martinez Clinic,Emergency Medicine,Physician Group,IL,False
PRV20212,Stewart Ltd Medical Group,Radiology,Individual Practitioner,FL,False
PRV20213,"Tapia, Vaughn and Lee Medical Group",Psychiatry,Outpatient Facility,GA,False
PRV20214,"Washington, Hardy and Bray Medical Group",Emergency Medicine,Outpatient Facility,MA,False
PRV20215,"Carlson, Hooper and Wall Medical Group",Cardiology,Outpatient Facility,GA,False
PRV20216,Perez-White Clinic,Cardiology,Hospital,TX,False
PRV20217,Erickson and Sons Clinic,Radiology,Individual Practitioner,NY,False
PRV20218,Williams-Brown Clinic,Oncology,Individual Practitioner,IL,False
PRV20219,Terry-Martinez Clinic,Oncology,Physician Group,NY,False
PRV20220,Garcia-Smith Clinic,Neurology,Outpatient Facility,IL,False
PRV20221,Harrison-Alexander Clinic,Internal Medicine,Hospital,NC,False
PRV20222,Sheppard LLC Medical Group,Neurology,Hospital,FL,False
PRV20223,Wilson-Jones Clinic,Oncology,Hospital,NY,False
PRV20224,Jones-Soto Clinic,Nephrology,Individual Practitioner,TX,False
PRV20225,Hernandez PLC Medical Group,General Surgery,Outpatient Facility,NY,False
PRV20226,Miller-Wright Medical Group,Family Practice,Individual Practitioner,TX,False
PRV20227,"Duran, Obrien and Gibbs Clinic",Emergency Medicine,Physician Group,PA,False
PRV20228,Rowe Group Medical Group,General Surgery,Individual Practitioner,NC,False
PRV20229,Kerr-Evans Medical Group,Radiology,Individual Practitioner,IL,False
PRV20230,"Branch, Torres and Oliver Medical Group",Orthopedic Surgery,Outpatient Facility,CA,False
PRV20231,"Choi, Garcia and Farmer Clinic",Cardiology,Physician Group,TX,False
PRV20232,"Clark, Guerrero and Moore Clinic",Oncology,Outpatient Facility,NC,False
PRV20233,Arnold and Sons Clinic,Internal Medicine,Physician Group,MA,False
PRV20234,Ortiz Ltd Medical Group,Emergency Medicine,Individual Practitioner,GA,False
PRV20235,"Harrison, Johnson and Roberts Medical Group",Internal Medicine,Hospital,NC,False
PRV20236,Warner-Gibson Clinic,Psychiatry,Outpatient Facility,FL,False
PRV20237,"Hall, Baker and Moody Clinic",Radiology,Physician Group,NY,False
PRV20238,"Guerrero, Peck and Coleman Medical Group",Psychiatry,Physician Group,GA,False
PRV20239,"Walker, Hernandez and Baker Medical Group",General Surgery,Hospital,MA,False
PRV20240,Jones and Sons Clinic,Internal Medicine,Outpatient Facility,NC,False
PRV20241,Larson-Holloway Medical Group,Emergency Medicine,Hospital,CA,False
PRV20242,Gonzales-Harrison Clinic,Family Practice,Hospital,NC,False
PRV20243,Lyons-Bender Medical Group,Neurology,Hospital,GA,False
PRV20244,"Fernandez, Kim and George Clinic",Internal Medicine,Hospital,MA,False
PRV20245,Navarro-Munoz Clinic,General Surgery,Physician Group,IL,False
PRV20246,Davis Ltd Clinic,Cardiology,Hospital,CA,False
PRV20247,"Matthews, Smith and Hubbard Clinic",Psychiatry,Hospital,FL,False
PRV20248,Johnston-Hines Medical Group,Psychiatry,Physician Group,OH,False
PRV20249,Ruiz Ltd Clinic,Internal Medicine,Physician Group,NY,False
PRV20250,Moon-White Clinic,Oncology,Individual Practitioner,NY,False
PRV20251,"Graham, Olsen and Costa Medical Group",Orthopedic Surgery,Individual Practitioner,MA,False
PRV20252,Bailey-Cook Clinic,General Surgery,Hospital,TX,False
PRV20253,"Garcia, Martin and Jenkins Medical Group",Emergency Medicine,Individual Practitioner,IL,False
PRV20254,Roberts-Landry Medical Group,Internal Medicine,Physician Group,FL,False
PRV20255,"Johnson, Miller and King Medical Group",Radiology,Hospital,FL,False
PRV20256,Cordova Group Medical Group,Internal Medicine,Physician Group,OH,False
PRV20257,"Bryan, Smith and Booth Clinic",Family Practice,Hospital,GA,False
PRV20258,Gutierrez-Lopez Medical Group,Internal Medicine,Hospital,FL,False
PRV20259,Dean-Jimenez Clinic,Emergency Medicine,Hospital,CA,False
PRV20260,Wolf-Harris Clinic,Psychiatry,Outpatient Facility,FL,False
PRV20261,"Anderson, Roberts and Gilmore Clinic",Anesthesiology,Individual Practitioner,FL,False
PRV20262,Martinez-Dudley Clinic,General Surgery,Outpatient Facility,PA,False
PRV20263,"Lloyd, Mckinney and Collins Clinic",Internal Medicine,Physician Group,IL,False
PRV20264,Tran Inc Clinic,Family Practice,Individual Practitioner,IL,False
PRV20265,Gay Inc Medical Group,Anesthesiology,Hospital,FL,False
PRV20266,Valentine-Holland Clinic,Cardiology,Physician Group,FL,False
PRV20267,Jimenez Ltd Clinic,Cardiology,Individual Practitioner,OH,False
PRV20268,Hicks-Hill Clinic,Cardiology,Physician Group,NC,False
PRV20269,Baird-Sanchez Medical Group,Radiology,Individual Practitioner,OH,False
PRV20270,"Thomas, Lee and Greene Clinic",Radiology,Outpatient Facility,NY,False
PRV20271,"Suarez, Shields and Hill Medical Group",Internal Medicine,Outpatient Facility,NC,False
PRV20272,Morgan-French Clinic,Cardiology,Physician Group,NY,False
PRV20273,Hoover-Campbell Clinic,Family Practice,Physician Group,NC,False
PRV20274,Monroe-Carpenter Clinic,Radiology,Physician Group,OH,False
PRV20275,"Burns, Hernandez and Ryan Clinic",Anesthesiology,Outpatient Facility,NC,False
PRV20276,Cook-Hines Medical Group,General Surgery,Hospital,OH,False
PRV20277,Gibson-Morris Medical Group,General Surgery,Hospital,TX,False
PRV20278,Pollard and Sons Clinic,Emergency Medicine,Physician Group,PA,False
PRV20279,"Reyes, Chase and Jenkins Clinic",Orthopedic Surgery,Individual Practitioner,GA,False
PRV20280,Garner-Thornton Medical Group,Radiology,Outpatient Facility,TX,False
PRV20281,Hughes-Alvarado Clinic,Anesthesiology,Physician Group,FL,False
PRV20282,"Pollard, Simpson and Johnson Clinic",Radiology,Physician Group,TX,False
PRV20283,"Sanford, Rivera and Garcia Medical Group",Neurology,Hospital,PA,False
PRV20284,Garcia-Lozano Clinic,Orthopedic Surgery,Individual Practitioner,NY,False
PRV20285,Bowen Group Clinic,Emergency Medicine,Physician Group,TX,False
PRV20286,"Booker, Jones and Harrington Clinic",Oncology,Individual Practitioner,MA,False
PRV20287,Morgan-Schwartz Clinic,General Surgery,Individual Practitioner,CA,False
PRV20288,"Miller, Murphy and Craig Clinic",Emergency Medicine,Hospital,TX,False
PRV20289,"James, Stewart and Higgins Medical Group",Radiology,Individual Practitioner,PA,False
PRV20290,Brennan-Johnson Medical Group,Oncology,Hospital,PA,False
PRV20291,Young Ltd Clinic,General Surgery,Hospital,NC,False
PRV20292,Bright-Francis Medical Group,Internal Medicine,Outpatient Facility,GA,False
PRV20293,Good-Hodges Clinic,Neurology,Outpatient Facility,GA,False
PRV20294,"Brennan, Wallace and Benson Clinic",Internal Medicine,Hospital,GA,False
PRV20295,Williams Inc Clinic,Orthopedic Surgery,Physician Group,FL,False
PRV20296,Howard-Jordan Clinic,Nephrology,Hospital,PA,False
PRV20297,Schmidt PLC Medical Group,Nephrology,Outpatient Facility,OH,False
PRV20298,"Sparks, Jackson and Miller Medical Group",Nephrology,Physician Group,TX,False
PRV20299,Harvey-Allen Clinic,Orthopedic Surgery,Individual Practitioner,NY,False
PRV20300,"Thomas, Murray and King Medical Group",Radiology,Physician Group,TX,False
PRV20301,Estrada-Nolan Clinic,Anesthesiology,Individual Practitioner,TX,False
PRV20302,Santana-Byrd Medical Group,Anesthesiology,Hospital,NC,False
PRV20303,Jones LLC Clinic,Psychiatry,Hospital,MA,False
PRV20304,"Evans, Hayden and Vaughn Medical Group",Cardiology,Outpatient Facility,FL,False
PRV20305,Bruce-Gonzalez Medical Group,Oncology,Hospital,NC,False
PRV20306,Castaneda-Rodriguez Clinic,Anesthesiology,Individual Practitioner,NY,False
PRV20307,Armstrong-Andrews Clinic,Family Practice,Physician Group,OH,False
PRV20308,"Phillips, Spence and Barrett Medical Group",Emergency Medicine,Individual Practitioner,NC,False
PRV20309,Smith-Grimes Medical Group,Cardiology,Individual Practitioner,CA,False
PRV20310,"Beltran, Lozano and Mcgee Clinic",Radiology,Hospital,CA,False
PRV20311,Parsons-Hall Medical Group,Cardiology,Physician Group,NC,False
PRV20312,Robinson-Lee Clinic,Neurology,Outpatient Facility,GA,False
PRV20313,Byrd-Le Medical Group,Nephrology,Hospital,MA,False
PRV20314,"Becker, Taylor and Davis Clinic",Radiology,Outpatient Facility,GA,False
PRV20315,"Lucas, Parker and Alexander Medical Group",Anesthesiology,Physician Group,NC,False
PRV20316,"Diaz, Anderson and Browning Medical Group",Radiology,Physician Group,TX,False
PRV20317,Burgess-Thompson Clinic,Oncology,Hospital,CA,False
PRV20318,Buchanan LLC Clinic,Neurology,Outpatient Facility,GA,False
PRV20319,"Shaw, Nelson and Martin Medical Group",Internal Medicine,Hospital,PA,False
PRV20320,Coffey-Phillips Clinic,Oncology,Outpatient Facility,CA,False
PRV20321,Brock-Mcdonald Clinic,Anesthesiology,Individual Practitioner,GA,False
PRV20322,Taylor and Sons Medical Group,Cardiology,Physician Group,PA,False
PRV20323,"Ramsey, Whitney and Coffey Medical Group",Radiology,Physician Group,GA,False
PRV20324,"Diaz, Gibbs and Smith Medical Group",Family Practice,Individual Practitioner,GA,False
PRV20325,"Martinez, Richardson and Curry Medical Group",Orthopedic Surgery,Hospital,NC,False
PRV20326,Richards-Carson Clinic,Neurology,Physician Group,NY,False
PRV20327,Rodriguez-Hall Medical Group,Orthopedic Surgery,Hospital,OH,False
PRV20328,Harvey PLC Clinic,Emergency Medicine,Hospital,NY,False
PRV20329,Herman-Walker Medical Group,Radiology,Hospital,CA,False
PRV20330,Reid Group Medical Group,Orthopedic Surgery,Individual Practitioner,GA,False
PRV20331,"Turner, Ortiz and Taylor Medical Group",Emergency Medicine,Hospital,FL,False
PRV20332,Torres Group Medical Group,Internal Medicine,Physician Group,PA,False
PRV20333,Davis PLC Clinic,Internal Medicine,Outpatient Facility,FL,False
PRV20334,Price LLC Clinic,Orthopedic Surgery,Physician Group,OH,False
PRV20335,"Avery, Horton and Fernandez Clinic",Cardiology,Physician Group,IL,False
PRV20336,"Newton, Moore and Perry Medical Group",Orthopedic Surgery,Outpatient Facility,NY,False
PRV20337,Bass PLC Clinic,Oncology,Physician Group,CA,False
PRV20338,Crosby-Ramirez Clinic,Cardiology,Hospital,NY,False
PRV20339,"Wood, Ramos and Sampson Clinic",Psychiatry,Outpatient Facility,GA,False
PRV20340,Garcia-Jennings Medical Group,Neurology,Hospital,NC,False
PRV20341,"Winters, Newman and Brown Medical Group",Nephrology,Individual Practitioner,NY,False
PRV20342,Lopez-Martinez Medical Group,Psychiatry,Hospital,FL,False
PRV20343,Davis-Lewis Medical Group,Internal Medicine,Physician Group,CA,False
